receipt_id|marker_id
9957c8d1-af2c-4372-a5f6-7b280447e3d2|00001
c98dda58-51df-402d-8c04-17cb51681e05|00002
5df5bbee-3af7-4097-b64e-e2d484a4fb80|00002
06146458-d3bd-4472-8ffe-b5ed652df8de|00002
c92ac0bf-3b4f-49f2-95a4-17be35a990ca|00001
63e28de7-aa49-4842-8629-6bbd2a9dee6a|00001
ba73c41f-6fc5-463a-97b5-9fa088c7854c|00002
e0d2b8f3-4237-4dae-ac46-ff3349cabb1e|00001
c705c7f5-61a9-4905-99d3-e61f3f5dc1af|00002
807f4f8d-00f5-4ac5-97f7-cdc6c2634ca8|00002
45457cf0-464e-4489-bdb8-0733e0065fcd|00002
a71175c0-6caf-47d5-9ad1-bab1da5c4b07|00001
45ba9242-2bb4-4a85-8ff7-48d1ee4fe5a8|00001
b68b52b4-d2d8-4585-9fdf-e3318d5a8c8e|00001
e5d9f1ac-f68f-42a7-9e5d-301b3a3422cc|00002
896cb948-2a18-4b3b-807a-a3866ce4db9d|00002
f90f6805-6c82-4d5e-a6e6-2d9df1c1b664|00002
8ecddebb-c0b3-42ab-883e-e8e67ccff2d5|00002
00c4ba80-a83b-42c9-ae29-23db61baec2d|00001
3855c7bb-ab48-447e-8246-f52c4ddfa77e|00001
2ff8356c-6830-47ff-b83d-6613fb4aaae3|00002
b8829bfd-e029-404f-ad91-48e04a60ac2a|00001
ec320d60-d986-4691-a2d9-f0c79427f6df|00001
8a8c19ef-0f66-427f-8521-8736df52a86f|00001
e1280971-ef20-4603-95cb-d8fa92eae675|00002
39c3b7a0-b773-4bae-b467-98113718e497|00001
2ff6d81f-f175-4e14-8648-dc03ff993197|00001
075abd9e-3b26-48c7-8fc0-85a972f85bc5|00001
8cbf1589-1f11-405b-a0ca-2e14392142b6|00001
0677aa3d-cb3b-4fe1-856a-0f33834f674b|00001
52f28cb0-aecd-479a-a15b-9c2a4b28f152|00001
2237ff36-ca07-465e-b529-9ef27b4ee356|00002
1bebb2c7-47cf-43ea-ab1a-6ef45486cead|00002
95297c1f-337e-47eb-86a6-28b2b5d9abc7|00002
23a3aa68-e702-4201-b754-2db736eed5f6|00002
203f4818-7508-4c4a-87f9-835526d1c065|00002
39ecdece-61da-4976-a1e6-4c08f950e002|00001
36768e48-d762-4789-9489-640ef708385b|00001
525b4f9e-f55b-4028-8da7-cd26b6d37af5|00001
e05cbca7-dfab-4e1b-82d1-8379152acc8d|00001
809f48fc-34f7-464d-97b4-3faac12a83da|00001
e28aea1f-128b-40c0-9ac6-f02f237c665c|00001
190ca26b-2965-4ed1-8d22-e6525658aabe|00001
5c9c74a4-f31a-4348-84e2-ff6afe6c6871|00001
8557cf93-b49b-4963-80ff-25479eb540c1|00002
