document_id|product_id|qty|original_price|total_price
ab856521-deb5-4c03-99d5-098ffa852eac|000050888|1,509|139,63|210,70167
87772c9d-be47-4387-8a8c-210a5b5d0a9c|000012398|2,825|206|581,95
1f2cc065-045c-4f73-9fbe-f85938900d11|000012418|0,031|30|0,93
7d79c895-0a61-4bc6-a80e-4c2b9bb015a4|000010710|45,932|56,8|2608,9376
aa20c095-6eb9-4365-91bd-00009195bc31|000010668|8,224|63,5|522,224
0fbbe848-abe4-4c90-a7fc-aa14d1695d98|000012420|0,342|114,88|39,28896
3acdbe4e-3544-4c62-9249-74811a2e37b6|000010804|0,01|206|2,06
5a35bddb-ae67-4e0e-8869-f1d7e922d9c3|000052053|1|95|95
590097d0-03f9-4900-b126-8b4cfbc8114e|000013057|0,14|185|25,9
ae0b6608-a07b-4763-97ac-9c3f6c862147|000008670|0,584|290|169,36
3e200462-ffe3-4c1b-9539-3bd5609ae29c|000010750|12,597|56|705,432
117ad579-329a-4139-9c8a-ded2e9658629|000013488|0,196|480|94,08
8837ed01-eeda-4bad-9808-53955f1e0016|000009139|1,111|78|86,658
7d3fe9fb-425b-4a7b-9d34-41dd5c8764c6|000042332|0,686|335,99|230,48914
117ad579-329a-4139-9c8a-ded2e9658629|000010861|55,349|49,5|2739,7755
5a35bddb-ae67-4e0e-8869-f1d7e922d9c3|000010761|0,051|150|7,65
0fbbe848-abe4-4c90-a7fc-aa14d1695d98|000012400|1,933|186|359,538
8837ed01-eeda-4bad-9808-53955f1e0016|000009134|1,073|33|35,409
df4165e7-63c3-4f44-940d-14235cf8f080|000042318|0,259|264,98|68,62982
caaef75c-3820-4fda-b22f-03440aaa1e59|000040951|0,032|649,38|20,78016
acd93b08-1db2-4874-82d2-eda55f5750d5|000025452|1,264|170|214,88
206559c2-d10b-42a4-a06c-4c794fc60f71|000010755|0,758|67,99|51,53642
eb630d90-26ff-4e3b-b14a-47cb581de15a|000042091|1,481|205,08|303,72348
8837ed01-eeda-4bad-9808-53955f1e0016|000012410|0,224|65|14,56
acd93b08-1db2-4874-82d2-eda55f5750d5|000010698|2,731|110|300,41
7d79c895-0a61-4bc6-a80e-4c2b9bb015a4|000025455|0,504|145|73,08
e4c18585-383f-4886-80ea-6795a488b3ff|000046576|490|5,83|2856,7
aa20c095-6eb9-4365-91bd-00009195bc31|000051707|0,131|64,96|8,50976
e4c18585-383f-4886-80ea-6795a488b3ff|000033024|1,592|308,4|490,9728
e4c18585-383f-4886-80ea-6795a488b3ff|000009309|0,002|530|1,06
3acdbe4e-3544-4c62-9249-74811a2e37b6|000013485|0,016|450|7,2
