document_id|product_id|qty|original_price|total_price
38f09e22-bda1-411f-97be-05c0abda74ef|000008845|0,004|105|0,42
38f09e22-bda1-411f-97be-05c0abda74ef|000009180|0,51|120,96|61,6896
38f09e22-bda1-411f-97be-05c0abda74ef|000014923|0,772|73,94|57,08168
38f09e22-bda1-411f-97be-05c0abda74ef|000014933|0,485|84,52|40,9922
38f09e22-bda1-411f-97be-05c0abda74ef|000016617|24|14,61|350,64
38f09e22-bda1-411f-97be-05c0abda74ef|000022478|1,734|90,2|156,4068
38f09e22-bda1-411f-97be-05c0abda74ef|000024214|1|36,18|36,18
38f09e22-bda1-411f-97be-05c0abda74ef|000033701|1|91,08|91,08
38f09e22-bda1-411f-97be-05c0abda74ef|000041287|0,005|52|0,26
38f09e22-bda1-411f-97be-05c0abda74ef|000044379|0,098|146,94|14,40012
38f09e22-bda1-411f-97be-05c0abda74ef|000050458|1|57,6|57,6
38f09e22-bda1-411f-97be-05c0abda74ef|000050738|0,546|107,53|58,71138
38f09e22-bda1-411f-97be-05c0abda74ef|000051289|3|9,78|29,34
38f09e22-bda1-411f-97be-05c0abda74ef|000051541|1|18,31|18,31
38f09e22-bda1-411f-97be-05c0abda74ef|000051546|1|11,99|11,99
21c6a1c4-9859-47b5-9a06-776645f44590|000036449|0,28|233,46|65,3688
38f09e22-bda1-411f-97be-05c0abda74ef|000009192|0,974|154,92|150,89208
38f09e22-bda1-411f-97be-05c0abda74ef|000014861|0,978|130,44|127,57032
38f09e22-bda1-411f-97be-05c0abda74ef|000014934|0,204|73,77|15,04908
38f09e22-bda1-411f-97be-05c0abda74ef|000016639|1|22,08|22,08
38f09e22-bda1-411f-97be-05c0abda74ef|000023854|1|15,96|15,96
38f09e22-bda1-411f-97be-05c0abda74ef|000024962|1,02|81,48|83,1096
38f09e22-bda1-411f-97be-05c0abda74ef|000025268|3|117,3|351,9
38f09e22-bda1-411f-97be-05c0abda74ef|000030142|1|32,94|32,94
38f09e22-bda1-411f-97be-05c0abda74ef|000040090|1,086|80,49|87,41214
38f09e22-bda1-411f-97be-05c0abda74ef|000047487|1|118,26|118,26
38f09e22-bda1-411f-97be-05c0abda74ef|000051547|4|11,99|47,96
0e6c679b-8847-4101-b87d-7f5940f5a468|000006819|2|63,5|127
38f09e22-bda1-411f-97be-05c0abda74ef|000004822|1|47,22|47,22
38f09e22-bda1-411f-97be-05c0abda74ef|000004882|0,279|146,7|40,9293
38f09e22-bda1-411f-97be-05c0abda74ef|000011967|0,322|96,37|31,03114
38f09e22-bda1-411f-97be-05c0abda74ef|000012003|1,388|194,36|269,77168
38f09e22-bda1-411f-97be-05c0abda74ef|000012048|0,306|177,97|54,45882
38f09e22-bda1-411f-97be-05c0abda74ef|000021167|2|18,18|36,36
38f09e22-bda1-411f-97be-05c0abda74ef|000024570|0,369|127,29|46,97001
38f09e22-bda1-411f-97be-05c0abda74ef|000026186|1|22,2|22,2
38f09e22-bda1-411f-97be-05c0abda74ef|000028324|0,054|177,96|9,60984
38f09e22-bda1-411f-97be-05c0abda74ef|000028468|0,204|136,62|27,87048
38f09e22-bda1-411f-97be-05c0abda74ef|000043278|0,16|171,31|27,4096
38f09e22-bda1-411f-97be-05c0abda74ef|000046983|1|21,77|21,77
38f09e22-bda1-411f-97be-05c0abda74ef|000052248|1|35,89|35,89
38f09e22-bda1-411f-97be-05c0abda74ef|000054012|1|25,44|25,44
c2f3a22b-4baa-4e1d-ad33-37e38882a62b|000031413|0,434|91,73|39,81082
88ce1345-9484-4045-b756-1c6070e83e1b|000045634|0,4|790|316
38f09e22-bda1-411f-97be-05c0abda74ef|000004806|1|31,62|31,62
38f09e22-bda1-411f-97be-05c0abda74ef|000009188|1,656|147,75|244,674
38f09e22-bda1-411f-97be-05c0abda74ef|000009228|0,007|145,71|1,01997
38f09e22-bda1-411f-97be-05c0abda74ef|000012058|2|14,99|29,98
38f09e22-bda1-411f-97be-05c0abda74ef|000016622|1|25,14|25,14
38f09e22-bda1-411f-97be-05c0abda74ef|000024006|1|8,34|8,34
38f09e22-bda1-411f-97be-05c0abda74ef|000032966|1|14,38|14,38
38f09e22-bda1-411f-97be-05c0abda74ef|000044359|2|15,55|31,1
21c6a1c4-9859-47b5-9a06-776645f44590|000025081|0,335|308,63|103,39105
88ce1345-9484-4045-b756-1c6070e83e1b|000035264|12|4,23|50,76
38f09e22-bda1-411f-97be-05c0abda74ef|000014890|3|16,13|48,39
38f09e22-bda1-411f-97be-05c0abda74ef|000024581|0,153|107,58|16,45974
38f09e22-bda1-411f-97be-05c0abda74ef|000041874|0,456|113,16|51,60096
38f09e22-bda1-411f-97be-05c0abda74ef|000043530|0,003|136,67|0,41001
38f09e22-bda1-411f-97be-05c0abda74ef|000050421|0,004|105|0,42
38f09e22-bda1-411f-97be-05c0abda74ef|000051293|1|6,06|6,06
c2f3a22b-4baa-4e1d-ad33-37e38882a62b|000040074|0,143|311,05|44,48015
c2f3a22b-4baa-4e1d-ad33-37e38882a62b|000051763|2,569|183,2|470,6408
88ce1345-9484-4045-b756-1c6070e83e1b|000045635|1|351|351
38f09e22-bda1-411f-97be-05c0abda74ef|000012016|0,57|309,39|176,3523
38f09e22-bda1-411f-97be-05c0abda74ef|000014954|3|47,78|143,34
38f09e22-bda1-411f-97be-05c0abda74ef|000021126|1|27|27
38f09e22-bda1-411f-97be-05c0abda74ef|000022698|6|6,6|39,6
38f09e22-bda1-411f-97be-05c0abda74ef|000024223|1|22,74|22,74
38f09e22-bda1-411f-97be-05c0abda74ef|000029232|0,142|74,44|10,57048
38f09e22-bda1-411f-97be-05c0abda74ef|000033740|2|90,12|180,24
38f09e22-bda1-411f-97be-05c0abda74ef|000038172|1,082|127,74|138,21468
38f09e22-bda1-411f-97be-05c0abda74ef|000039541|1|11,76|11,76
38f09e22-bda1-411f-97be-05c0abda74ef|000048563|0,003|140|0,42
38f09e22-bda1-411f-97be-05c0abda74ef|000014813|0,406|107,07|43,47042
38f09e22-bda1-411f-97be-05c0abda74ef|000015540|1|16,98|16,98
38f09e22-bda1-411f-97be-05c0abda74ef|000016496|6|11,82|70,92
38f09e22-bda1-411f-97be-05c0abda74ef|000021117|1|22,08|22,08
38f09e22-bda1-411f-97be-05c0abda74ef|000022603|0,126|118,97|14,99022
38f09e22-bda1-411f-97be-05c0abda74ef|000023829|10|15,34|153,4
38f09e22-bda1-411f-97be-05c0abda74ef|000027618|1|21,6|21,6
38f09e22-bda1-411f-97be-05c0abda74ef|000037312|2|29,5|59
38f09e22-bda1-411f-97be-05c0abda74ef|000051322|1|43,74|43,74
38f09e22-bda1-411f-97be-05c0abda74ef|000051635|1|8,1|8,1
21c6a1c4-9859-47b5-9a06-776645f44590|000048396|0,161|138,01|22,21961
21c6a1c4-9859-47b5-9a06-776645f44590|000050814|0,379|119,95|45,46105
