document_id|product_id|qty|original_price|total_price
224c30f0-a2b6-46a7-9188-6fda9334368b|000010085|0,08|214,88|17,1904
24dc8d80-0f7b-4855-9465-af2169cf0320|000010808|2,562|30|76,86
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000010785|0,397|100|39,7
177da5e7-b36f-417f-bbdd-6a6a86511c64|000011561|0,101|350|35,35
24dc8d80-0f7b-4855-9465-af2169cf0320|000010785|0,04|100|4
54853c35-e2fe-4931-b9a1-dccc74928788|000007634|0,014|96,43|1,35002
6f4c234b-ea42-4565-90dc-e8743556006c|000025119|0,539|70|37,73
224c30f0-a2b6-46a7-9188-6fda9334368b|000042481|0,046|125,65|5,7799
7a788240-e9b8-4b5b-9866-a638c2f5e713|000029066|0,012|107,5|1,29
54853c35-e2fe-4931-b9a1-dccc74928788|000007318|0,088|111,36|9,79968
6f4c234b-ea42-4565-90dc-e8743556006c|000010698|0,436|100|43,6
177da5e7-b36f-417f-bbdd-6a6a86511c64|000049790|0,028|723,21|20,24988
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000024871|0,038|225|8,55
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000011565|0,044|322,95|14,2098
54853c35-e2fe-4931-b9a1-dccc74928788|000029654|0,014|140|1,96
24dc8d80-0f7b-4855-9465-af2169cf0320|000010710|0,768|59|45,312
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000006805|0,068|240|16,32
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000033720|0,058|257,93|14,95994
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000008254|0,04|313,5|12,54
0864b115-24b0-49f2-bc77-f745ca4bf059|000010028|0,726|257,52|186,95952
224c30f0-a2b6-46a7-9188-6fda9334368b|000051452|0,06|213|12,78
6f4c234b-ea42-4565-90dc-e8743556006c|000052516|2|20|40
54853c35-e2fe-4931-b9a1-dccc74928788|000037323|0,032|120,94|3,87008
0c7b4812-926d-4cf2-bcb9-9b2baca8b669|000028869|1|3,9|3,9
0864b115-24b0-49f2-bc77-f745ca4bf059|000048396|0,488|137,99|67,33912
24dc8d80-0f7b-4855-9465-af2169cf0320|000010767|0,448|110|49,28
57aa8594-036b-43ec-9d80-5b44b743581d|000010028|0,462|257,51|118,96962
24dc8d80-0f7b-4855-9465-af2169cf0320|000025188|0,18|41|7,38
24dc8d80-0f7b-4855-9465-af2169cf0320|000010720|0,126|190|23,94
24dc8d80-0f7b-4855-9465-af2169cf0320|000010763|0,076|165|12,54
54853c35-e2fe-4931-b9a1-dccc74928788|000030156|0,02|119|2,38
24dc8d80-0f7b-4855-9465-af2169cf0320|000010809|1,57|65|102,05
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000025119|0,183|70|12,81
24dc8d80-0f7b-4855-9465-af2169cf0320|000025455|0,502|130,5|65,511
24dc8d80-0f7b-4855-9465-af2169cf0320|000010859|1,066|56|59,696
54853c35-e2fe-4931-b9a1-dccc74928788|000010430|0,04|244|9,76
6f4c234b-ea42-4565-90dc-e8743556006c|000025455|0,676|138,91|93,90316
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000044335|0,042|288,33|12,10986
24dc8d80-0f7b-4855-9465-af2169cf0320|000010686|0,846|244,5|206,847
24dc8d80-0f7b-4855-9465-af2169cf0320|000010732|0,246|26,99|6,63954
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000026650|0,014|117,14|1,63996
54853c35-e2fe-4931-b9a1-dccc74928788|000045475|0,018|175|3,15
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000008280|0,038|424,74|16,14012
24dc8d80-0f7b-4855-9465-af2169cf0320|000010778|0,358|130|46,54
224c30f0-a2b6-46a7-9188-6fda9334368b|000007318|0,046|111,3|5,1198
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000011561|0,048|332,92|15,98016
54853c35-e2fe-4931-b9a1-dccc74928788|000007317|0,094|142,02|13,34988
54853c35-e2fe-4931-b9a1-dccc74928788|000010145|0,01|212|2,12
54853c35-e2fe-4931-b9a1-dccc74928788|000035974|0,016|224,38|3,59008
0864b115-24b0-49f2-bc77-f745ca4bf059|000010441|0,832|224,04|186,40128
54853c35-e2fe-4931-b9a1-dccc74928788|000025081|0,018|308,89|5,56002
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000010691|0,525|90|47,25
57aa8594-036b-43ec-9d80-5b44b743581d|000010441|0,824|224,04|184,60896
24dc8d80-0f7b-4855-9465-af2169cf0320|000010714|1,296|39,31|50,94576
6f4c234b-ea42-4565-90dc-e8743556006c|000010808|1,605|30|48,15
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000010782|0,068|77,94|5,29992
6f4c234b-ea42-4565-90dc-e8743556006c|000010717|0,115|116|13,34
224c30f0-a2b6-46a7-9188-6fda9334368b|000010430|0,072|244,03|17,57016
177da5e7-b36f-417f-bbdd-6a6a86511c64|000006805|0,018|235|4,23
7a788240-e9b8-4b5b-9866-a638c2f5e713|000007992|0,018|152,22|2,73996
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000010788|0,139|32,01|4,44939
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000046683|1|39|39
57aa8594-036b-43ec-9d80-5b44b743581d|000037673|0,64|102|65,28
24dc8d80-0f7b-4855-9465-af2169cf0320|000010698|0,212|105|22,26
6f4c234b-ea42-4565-90dc-e8743556006c|000010714|0,448|40|17,92
24dc8d80-0f7b-4855-9465-af2169cf0320|000025465|0,05|138|6,9
224c30f0-a2b6-46a7-9188-6fda9334368b|000029654|0,056|130,89|7,32984
7a788240-e9b8-4b5b-9866-a638c2f5e713|000007318|0,028|111,43|3,12004
6f4c234b-ea42-4565-90dc-e8743556006c|000010859|0,892|56|49,952
0864b115-24b0-49f2-bc77-f745ca4bf059|000037673|0,725|102|73,95
24dc8d80-0f7b-4855-9465-af2169cf0320|000052915|0,06|28|1,68
177da5e7-b36f-417f-bbdd-6a6a86511c64|000008252|0,02|418|8,36
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000050543|0,066|420,91|27,78006
177da5e7-b36f-417f-bbdd-6a6a86511c64|000028869|76|3,9|296,4
224c30f0-a2b6-46a7-9188-6fda9334368b|000007330|0,056|151,96|8,50976
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000047426|0,018|227,22|4,08996
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000046688|2|42|84
224c30f0-a2b6-46a7-9188-6fda9334368b|000007696|0,07|182|12,74
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000025456|0,484|85|41,14
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000036031|2,774|46,5|128,991
24dc8d80-0f7b-4855-9465-af2169cf0320|000010695|2,748|130,13|357,59724
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000006778|0,026|295|7,67
54853c35-e2fe-4931-b9a1-dccc74928788|000010441|0,018|223,89|4,03002
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000047413|0,052|386,92|20,11984
224c30f0-a2b6-46a7-9188-6fda9334368b|000030156|0,062|119,03|7,37986
54853c35-e2fe-4931-b9a1-dccc74928788|000049873|0,03|215|6,45
7a788240-e9b8-4b5b-9866-a638c2f5e713|000007343|0,018|106,67|1,92006
54853c35-e2fe-4931-b9a1-dccc74928788|000007696|0,012|181,67|2,18004
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000007173|0,054|428,89|23,16006
57aa8594-036b-43ec-9d80-5b44b743581d|000048396|0,474|138|65,412
54853c35-e2fe-4931-b9a1-dccc74928788|000007330|0,03|152|4,56
6f4c234b-ea42-4565-90dc-e8743556006c|000010781|0,573|170|97,41
7a788240-e9b8-4b5b-9866-a638c2f5e713|000029654|0,03|131|3,93
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000052525|2|25|50
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000006828|0,599|295,59|177,05841
224c30f0-a2b6-46a7-9188-6fda9334368b|000042022|0,04|165|6,6
54853c35-e2fe-4931-b9a1-dccc74928788|000022560|0,014|111,43|1,56002
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000048843|0,084|247,26|20,76984
54853c35-e2fe-4931-b9a1-dccc74928788|000026636|0,012|145,83|1,74996
24dc8d80-0f7b-4855-9465-af2169cf0320|000010782|0,808|110,9|89,6072
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000010701|0,62|135|83,7
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000051905|0,658|54|35,532
24dc8d80-0f7b-4855-9465-af2169cf0320|000029525|0,354|50|17,7
177da5e7-b36f-417f-bbdd-6a6a86511c64|000008281|0,062|361,45|22,4099
177da5e7-b36f-417f-bbdd-6a6a86511c64|000049792|0,024|720,83|17,29992
54853c35-e2fe-4931-b9a1-dccc74928788|000051608|0,012|211,67|2,54004
6f4c234b-ea42-4565-90dc-e8743556006c|000052519|1|32,5|32,5
7a788240-e9b8-4b5b-9866-a638c2f5e713|000022557|0,028|68,21|1,90988
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000008252|0,066|417,88|27,58008
90ff042c-f5eb-45cb-8ec5-4a22c7736131|000010714|3,318|38|126,084
54853c35-e2fe-4931-b9a1-dccc74928788|000027245|0,014|160,71|2,24994
c2f6d5a7-e2fd-4f81-b097-ec63a07ee9ef|000008278|0,042|346,9|14,5698
