document_id|product_id|qty|original_price|total_price
7fb13bef-dd94-4582-8a9f-d34c5382490b|000030156|0,026|119,23|3,09998
80887a74-3e3d-4bb7-aee8-4b5a1a3637a6|000010680|0,226|250|56,5
190aab3e-de93-447e-b68c-df7080883484|000045609|0,018|208,33|3,74994
f77ec755-0b19-44b6-90c7-65141cf9a6c7|000041239|1|76|76
60119504-6adc-4fa0-9fc7-c42149cc9cc4|000051620|0,812|265|215,18
60119504-6adc-4fa0-9fc7-c42149cc9cc4|000052519|3|37,5|112,5
f77ec755-0b19-44b6-90c7-65141cf9a6c7|000029525|0,31|45|13,95
80887a74-3e3d-4bb7-aee8-4b5a1a3637a6|000046684|2|39|78
d6c372bb-f915-4b10-a012-ea4456ba54f9|000052519|3|37,5|112,5
7be6847e-c27e-4f70-8729-6313fa52fa0c|000025188|0,588|37,01|21,76188
c081e48a-55f1-4390-9e53-ff9c50ab5523|000025081|0,014|300,71|4,20994
7788094b-f36b-4e6a-8548-5177b539355e|000039036|0,083|355,06|29,46998
40f2c45b-fbdc-44e6-8137-b6c9493068a9|000047906|18|68,4|1231,2
d849c0b0-6580-4411-b2bc-249df3ad4896|000051984|1|18,3|18,3
7fb13bef-dd94-4582-8a9f-d34c5382490b|000010026|0,022|81,82|1,80004
60119504-6adc-4fa0-9fc7-c42149cc9cc4|000052517|4|20|80
c081e48a-55f1-4390-9e53-ff9c50ab5523|000041675|0,164|208,72|34,23008
d6c372bb-f915-4b10-a012-ea4456ba54f9|000010750|0,176|65|11,44
7788094b-f36b-4e6a-8548-5177b539355e|000042276|0,006|203,33|1,21998
accd2ee2-7b26-4640-ab99-ef78f752b7d7|000025456|0,292|158,01|46,13892
accd2ee2-7b26-4640-ab99-ef78f752b7d7|000025119|0,575|78|44,85
d849c0b0-6580-4411-b2bc-249df3ad4896|000050229|2|16,98|33,96
60119504-6adc-4fa0-9fc7-c42149cc9cc4|000052527|1|30|30
d849c0b0-6580-4411-b2bc-249df3ad4896|000052082|5|25,21|126,05
7be6847e-c27e-4f70-8729-6313fa52fa0c|000010710|0,678|57,01|38,65278
80887a74-3e3d-4bb7-aee8-4b5a1a3637a6|000010729|0,054|200|10,8
a0889f98-14d7-4f90-8616-2a1edf0e0ee8|000007343|0,579|106,49|61,65771
002f5834-9b27-41d3-b5b5-fc5da9ce9618|000028869|27|4,1|110,7
80887a74-3e3d-4bb7-aee8-4b5a1a3637a6|000010732|0,52|27,5|14,3
