id|code|created_at|staff_id|shop_id|note|type_id
6cf19860-e96b-4028-8bbe-0d32cfbcee7f|00000027890|2025-05-31 22:19:20|null|97dade7f-d628-4c31-8983-9e176481e67f|Списание ТМЦ|100000170
aa83103d-cfe6-43a9-8d37-3ded2dcafe1d|00000028542|2025-05-31 23:59:59|null|80f41b87-2bed-40ce-a908-c5ff1d0f0e7a|Топливо для генераторов и расходы на обслуживание|100000249
4e61db55-8619-480c-928c-3a25e124e3cb|00000027952|2025-05-31 22:19:23|null|d3bdeef2-8c3d-4fe0-a847-a743a6b3f9e9|колбаса дегустация|100000172
a3801d3e-9d39-4b07-94ee-6a45ee879fdd|00000027887|2025-05-31 22:19:19|null|97dade7f-d628-4c31-8983-9e176481e67f||100000172
f473e5f9-4d52-4dcf-983b-0735abfae8e6|00000027872|2025-05-31 22:19:13|null|ea5281c5-f484-4638-8e63-bdc5853283f4|Списание ТМЦ|100000170
d927e410-a588-4e42-a300-458261743efa|00000027869|2025-05-31 22:19:11|null|ea5281c5-f484-4638-8e63-bdc5853283f4|Списание ТМЦ|100000170
ace1ce0b-2aba-4aed-a3a8-ed7e4dc5773c|00000027820|2025-05-31 22:19:07|null|c75105c3-7058-440b-ba5c-9810192d2955||100000172
d01ea4ed-9b47-4c3f-a88e-f0375bd5dc56|00000028540|2025-05-31 23:59:59|null|97dade7f-d628-4c31-8983-9e176481e67f|Топливо для генераторов и расходы на обслуживание|100000249
45e92158-1b56-4462-abd1-e56ed1ab293f|00000027871|2025-05-31 22:19:12|null|ea5281c5-f484-4638-8e63-bdc5853283f4|Списание ТМЦ|100000170
e7d35497-077f-40dd-adf1-31c81b64f464|00000028309|2025-05-31 22:19:44|null|abdd6e55-042f-4a2a-841b-bba860e77054|овощи-зелень|100000170
5f98bd04-0dc7-4a41-b9fa-a98202fd4dbd|00000028310|2025-05-31 22:19:45|null|abdd6e55-042f-4a2a-841b-bba860e77054|бой|100000170
c5557033-7409-4384-bac1-e55a9d1f7ea0|00000028533|2025-05-31 23:59:59|null|ea5281c5-f484-4638-8e63-bdc5853283f4|Топливо для генераторов и расходы на обслуживание|100000249
f833a2ef-1a9f-4287-bdfc-94bee0296091|00000027951|2025-05-31 22:19:22|null|d3bdeef2-8c3d-4fe0-a847-a743a6b3f9e9|рыба дегустация|100000172
e1edc589-b7f1-4876-bf00-32f2e7f95d34|00000028534|2025-05-31 23:59:59|null|c75105c3-7058-440b-ba5c-9810192d2955|Топливо для генераторов и расходы на обслуживание|100000249
a11b8d3c-9fe8-442f-bf38-056dafc7c755|00000027873|2025-05-31 22:19:14|null|ea5281c5-f484-4638-8e63-bdc5853283f4|Списание ТМЦ|100000170
